Label,sentence
단말>리모컨작동불가>택배발송,기가 지니리모컨 작동 불량 버튼 잘 안눌림 건전지상관없이 접촉 불량이라 함배 송 신청 등록 리모컨
실시간 채널>수신 불량,임의수신불
단말>STB(작동)이상,리셋 건 시청 예약 안됨재부팅 후 동일연 후방
실시간 채널>전환 지연,지니채널 전환 지연됨 재부팅해도 동일 연후방일 오후시
실시간 채널>수신 불량,대잘 안됨 교체 원함
단말>리모컨작동불가>택배발송,등록리모컨 작동이상 다른 건 되는데 채널 버튼이 누르면 삐걱거리는 거 같이 접촉 불량 소리나면서 안됨 교체 택배 등록 리모컨
실시간 채널>화질 이상,수시로 끊김넷플릭스 화면 나옴리셋
AS접수/변경>장비리셋 후 재사용 요청,리셋 접수 티비화질 뿌옇게 나옴
실시간 채널>화질 이상,닷컴 접수 꼼꼼한 수리 부탁드립니다 최근 해주셨던 엔지니어 재방문 요청화질이상 화면이 지글지글 끓는다함재부팅 및 재연결해도 동일 단말특이사항
실시간 채널>수신 불량,시청 불연 후방관리자 핀번 입력하라고 뜸
단말>STB(작동)이상,이상 빨간불만들어오고 시청 안 됨 셋 탑 전원 선재연결 후 동일
실시간 채널>수신 불량,코로나 이 상무시청 불가동일방에 대해 지했는데 해지한과 사용 중인 모두 사용 안 되고 있다 하심 확인 요해지해지 확인되어 해당 회선 연결된 임의 접수
단말>리모컨작동불가>M&S내방안내,리모컨 작동 불매장 방문 안내
"고객원인>부주의, ID/PW 분실 등",독촉 중간에 접수 취소 건 발생 시 땡겨서 방문 지원부탁드립니다 새로 이사와 서선 연결 요청하 심리모컨도 작동이 안 된다고 하시고 같이 점검을 요청하십니다 위치 이동 없음임의회선으로 접수연 후방 비즈형 상품
AS접수/변경>장비리셋 후 재사용 요청,리셋 접수 시간 전후 리콜 안내 일부 채널 수신 불가입이 필요하다고 나옴지니대
AS접수/변경>장비리셋 후 재사용 요청,리셋 접수 안방수신 불신 없음이라고 뜬다고 함 전체 리셋 정상
실시간 채널>수신 불량,차리셋 후 동일 빠른 방문원함리셋 수신불
"고객원인>부주의, ID/PW 분실 등",이사 후 시청 불임의 셋탑
실시간 채널>수신 불량,비상용 채널 안 나옴리셋해도 동일 보류
단말>리모컨작동불가>현장출동,티비리 모컨 작동 불연후방
AS접수/변경>장비리셋 후 재사용 요청,리셋 접수 화면 끊김 정상 전체 리셋재부팅 안내인
실시간 채널>화질 이상,미리 기사 배정되면 연락 먼저 요청함 화질 불량 화면 잘려서 나옴
단말>리모컨작동불가>기타문의,리모컨 작동 불정상 장비재부팅 외부 입력 변경 이후 정상 사용된다고함
실시간 채널>수신 불량,수신 불코로나 이 상무
실시간 채널>수신 불량,수신불
단말>STB(작동)이상,기가 지니 작동이상 전원에 불안 들어 옴 접수 보류
실시간 채널>화질 이상,화면이 느리게 나옴
실시간 채널>화질 이상,취소 건 발생 시 최대한 앞당겨 달라 심리셋 접수건 영상만 시청 불음성나옴
단말>리모컨작동불가>택배발송,채팅리모컨 아래 방향 키만 안됨 리모컨도 안 들어 옴택배 배송 등록함
"고객원인>부주의, ID/PW 분실 등",티선 연결 요청하심
"고객원인>부주의, ID/PW 분실 등",티비교체 후 위치 변경 없이 재연결 요청연 후방
실시간 채널>수신 불량,대중 대수신불 외부 신고 최대한 빠른 방문 요청하심
실시간 채널>수신 불량,코로나 이 상무시청 안 됨
실시간 채널>화질 이상,독촉 화질이상 음성은 나오나 화면 안나옴연 후방
단말>음성인식이상(기가지니),쿠폰 음성인식 불적색 차단 해제 시 정상 확인
"고객원인>부주의, ID/PW 분실 등",일시 교체 후 수신 불통합 설정 안됨 코로나
단말>리모컨작동불가>현장출동,코로나 이 상무재확인 필티비대리모컨 특정 버튼 안됨 노후 되어 새 리모컨 준비 요망
실시간 채널>수신 불량,임의세입자인 입방문 전 꼭 연락 요청 비밀번 알려준 다심월일 오후 수신불
실시간 채널>수신 불량,시청도중 수시로 확인하라고 수신 불량 뜸접수 안내했으나 포트리셋 요청 접수 보류
단말>리모컨작동불가>택배발송,리모컨 작동잘 안 됨 배송 등록 본인 설정 방법 안내
AS접수/변경>임대단말 분실/파손,대리모컨 분실요금 안내 후 접수 어플 문자 발송함
단말>리모컨작동불가>현장출동,코로나 이 상무방문 전재확인필 연후방 리모컨 작동 불매장 재고 부족으로 번재연락 안내받으심 방문접수처리해드림
실시간 채널>수신 불량,임 의회 선회선 사용 중 수신 불코로나 이 상무 전체적으로 같이 점검 요청 빠른 방문요신 비정상
단말>STB(작동)이상,코로나 이 상무재확인필 전원안 들어 옴 연락후
단말>리모컨작동불가>M&S내방안내,매장 안내리모컨 작불
단말>STB(작동)이상,대안됨 전원 안 켜짐 전원을 다시 눌러야 켜진 다함리셋 안내
단말>STB(작동)이상,셋탑 전원이 잘 안 켜짐 리모컨 문제인 거 같기도 하다 함 방문해서 점검 요청
실시간 채널>화질 이상,화면 안 나옴 음성나옴리셋해봄 코로나무시 방문 요청 연락 후
단말>리모컨작동불가>M&S내방안내,멀리 모컨 버튼 작동 불전원 볼륨 플라자 내방 가능함으로 문자 전송함 통합 페어링 문자 전송함
AS접수/변경>장비리셋 후 재사용 요청,리셋 접수 티비화 질 깨짐
AS접수/변경>장비리셋 후 재사용 요청,넷플릭스 실행 안됨재부팅 안내
단말>리모컨작동불가>M&S내방안내,리모컨 모든 버튼됐댜 안 됐다 함엠엔에스 방문 교체 안내드림
실시간 채널>수신 불량,일시티 비수신불셋 탑재 부팅 후 동일코로나 이 상무
실시간 채널>화질 이상,대화면이 빨갛게 나오고 음성도 안 나옴는 이 상무 문제 같다며 점검요
실시간 채널>화질 이상,시청 시 끊김 딱딱 소리도 남크론케스트 설치 요청도 하심 연후방
실시간 채널>수신 불량,코로나 이 상무재확인 필티 수신불임의회선 안방 정상
실시간 채널>수신 불량,코로나 이 상무수신 불빠른 방문 요청
실시간 채널>수신 불량,수신불
단말>리모컨작동불가>현장출동,코로나 이 상무방문 전재확인 요망 리모컨 일부 안됨 지니에 문제가 있는 것도 같다며 방문 점검 요청리셋 안내 명의 자 본인 방법선 안내 후 전송 올인 홈포트 정상인입
단말>리모컨작동불가>택배발송,리모컨 작동잘 안됨 숫자번이상 눌러야 한다 하심 택배 요청 등록함
AS접수/변경>장비리셋 후 재사용 요청,수신 불리셋 안내 모뎀 정상
"고객원인>부주의, ID/PW 분실 등",대사용 동시에 사용 안됨 연결선 확인 요청
실시간 채널>수신 불량,코로나 이 상무재확인 필동임의 셋톱박스에 전원 불이 아예 안 들어온다고 하심 셋톱재부팅해도 동일 현상 반복
실시간 채널>수신 불량,티비시청 불접수 보류여 시간 될 때 다시 전화한 다함
단말>STB(부팅) 이상>부팅중 오류메시지 발생,리셋 건시 요청함 수신 불로 딩중재부팅 후 동일연 후방
단말>STB(작동)이상,전원 녹색불에서 변동안됨연 후방
실시간 채널>수신 불량,임의수신 불 방문점검 및 방문시 셋탑박스 교체 요청
실시간 채널>수신 불량,연 후방필금요일 방문 요청 쉬는 날임의회 선점검코로나 이상무 재확인필 현장방문엔지니어님께 내용인계 빠른 방문 가능하면 해주신다고 함수신불화면 안나옴 내부 케이블 점검 요청인
"고객원인>부주의, ID/PW 분실 등",기가 지니 전원어뎁터가 떨어져서 손상되어서 전원 접촉이 되었다 안 되었다 한다 심댁 내에 계실 수 있는 상황이 아니라 어뎁터만 받고 싶다며 경비실에 맡겨달라며 우선은 통화 먼저 요청 신 정상
단말>리모컨작동불가>현장출동,시리모컨 작동불
실시간 채널>수신 불량,임의 티비시 시 수신 불엘지티비 직원 먼저 불러 점검하니 케이블 불량인 것 같다고 언급
단말>리모컨작동불가>택배발송,리모컨 구매ㅔ 요금 안내
단말>STB(작동)이상,셋탑 전원 셋탑에서 소리나더니 전원 안 켜짐 연 후방
실시간 채널>수신 불량,수신 불 보류
"고객원인>부주의, ID/PW 분실 등",코로나 이 상무재확인필 연결 요청가 없다고 가지고와 달라고 함 손실보상금 안내 김숙영인
AS접수/변경>임대단말 분실/파손,봇멀 서비스 번문의 내용 리모컨 파손 접수
"고객원인>부주의, ID/PW 분실 등",교체 후선 연결 원함 위치 이동 없음
실시간 채널>수신 불량,영업장 빠른 방문 희망 수신 불 최대한 빠른 출동요청인터넷 연결이 원할하지 않다 나 옴리셋 후 복구 안됨 모뎀 확인 불가
실시간 채널>화질 이상,코로나 이 상 무층쪽 화질이상 화면에 초록색 분홍색 세 줄 그어져 있음 교체해도 동일
단말>리모컨작동불가>택배발송,일부 버튼 원활하게 안 됨 리모컨 무료 배송처리함
부가/지능망서비스>이용불가>이용 불가(유선),핑크퐁 안됨 외부 신고리셋연 후방
AS접수/변경>장비리셋 후 재사용 요청,리셋 접수 넷플릭스 안 됨
실시간 채널>화질 이상,한 대시청 가능화면 멈춤 교체도 원함 연락후
실시간 채널>수신 불량,수신불랜 설정 다시 하라고 뜸 정상
실시간 채널>수신 불량,안방 자주안보다 보니 킬 때마다 수신 불량 뜨면서 시시수신 불잦은 증상 불만근 본 해결 요청선을 다 갈아달라고도 함베락 뒤쪽 어댑터만 갈아주고 갔다고 함연 후방불만 건이라 업셀링 못함
실시간 채널>수신 불량,결제 최대한 빠른 방문 요청 두 대 모두 수신 불셋 탑재 부팅인
실시간 채널>화질 이상,시시청 중 화면 꺼짐 가입되지 않은 서비스 문구 뜬 다함업ㅇ
단말>리모컨작동불가>기타문의,리모컨 시시작동 불가건전지 교체해 봄리셋 및 페어링 확인 정상 작동됨
단말>리모컨작동불가>현장출동,코로나 이 상 무리모컨 분실로 청약 접수해서 어제 리모컨 받았는데 기가 지 니리모컨 아니라 다른 리모컨으로 받음기가 지니 리모컨으로 교체 요청 방문 요청일 오후 시 이후 방문 요청
실시간 채널>화질 이상,시청 시 화면 깨지고 리모컨 작동도 안 된다고 함연 후방
AS접수/변경>장비리셋 후 재사용 요청,리셋 접수 수신 불리셋리 부팅
단말>STB(작동)이상,시점검 요청지니 이용중 전원 손띄면 꺼짐 조치 요청일 동시설 변요청 주장지니셋 탑정지 상태이나 현재 정상 사용된 다 심설 변 관련 진행 확인 후 담당자 통화 요청
단말>STB(작동)이상,자가격리일 오전 끝남넷플릭스 실행 불리모콘도티비 전원도 작동 불통합 설정 문자 전송 둘 다함
실시간 채널>화질 이상,일부 채널 화질 불량 지직거림 거실만 그렇다고 함리셋 동일 코로나무 미리 연락요
단말>STB(작동)이상,작동 불가방 쪽 연후방
단말>STB(작동)이상,임 의회선 안방수신 불셋탑 리모컨 작동이 안됨 점검 요청 정상
단말>리모컨작동불가>M&S내방안내,리모컨 작동 불노후 교체 희망매장 방문하겠다며 위치 문의와 리모컨지참하여 방문 안내 확인 방법 안내함 리모컨
AS접수/변경>장비리셋 후 재사용 요청,티비수 신불신 정상리셋 접수 포트리셋 정상
양방향서비스>양방향서비스 사용불가,리셋 접수건리셋아웃콜코로나 이 상무재확인 필유 투브 볼 때 소리 안나옴시청할 때 정상 연락 후 정상
실시간 채널>수신 불량,멀티비수 신불지니 음성인식도 잘 안 되고 지속 불편으로 점검 요청 정상
실시간 채널>화질 이상,대화질이상 리모컨 작동 불성인 초기화 불가인
원인불명>조치 전 자연 회복,티비수 신불예약인 입상담 도중 자연회복됨
실시간 채널>화질 이상,코로나 이 상무재확인필 시청 중 멈춤 현상 셋타박스 리셋동일셋탑박스리모컨 오래되어 방문시 같이 교체 요청하심
VOD/컨텐츠>메뉴 실행 불가,메뉴 실행 안됨 리모컨이 전 버튼 인식 안됨리모컨 문제라면 교체 요청 대 사용 중 대동일정확한 회선 확인 안 되어 임의 접수함 함께 점검 요청 최대한 빠른 방문 요청 연락 후 방문
실시간 채널>수신 불량,코로나 이 상무재확인 필티 수신불임의회선 접수안내층 쪽 확인불
실시간 채널>수신 불량,수신 불연 후방
고객원인>증설/구내선 정리요청,임 의회 선 접수 서비스 번조희철 문의자 조희철 티비위치이동 없이 기계만 변경 코로나 이 상무재확인필
AS접수/변경>장비리셋 후 재사용 요청,일리셋이 관 메뉴 실행 안됨리셋 접수
실시간 채널>수신 불량,코록나 이 상무시청불
실시간 채널>수신 불량,코로나 이 상무재확인 필리셋 접수 건수신불 정상
"고객원인>부주의, ID/PW 분실 등",티비선재연결연 후방 최대한 빠른 방문 요청이 사 설치 당시 비가 온다며 티비는 다음날 설치하겠다 했으나 연락 없었다 함 위치 그대로라함
실시간 채널>네트워크 오류,코로나 이 상무재확인필 취소 건 발생 시 선방문 확답불시청 불인터넷 오류대 모두 동일 목소리 인증 고객
실시간 채널>수신 불량,리셋 접수건기가 지니메뉴만 나옴올레 화면으로 안 넘어 감재 부팅 리모콘도 같이 점검 요청 안 되면 기기 지니 교체 준비해달라고 하심 방문 전 미리 연락 요청 오후 시 사이 방문 요청
실시간 채널>수신 불량,멀티재 설치
VOD/컨텐츠>메뉴 실행 불가,코로나 이 상무재확인필 이용할 때 화면 멈춤 지니 음성인식 잘 안됨같이 점검 요청
단말>리모컨작동불가>M&S내방안내,리모컨 작동 불채널 버튼 누르면 번씩 올라 감매장 문자전송인입
고객원인>증설/구내선 정리요청,코로나 이 상무재확인 필티비선재연결 요청 시험불
AS접수/변경>임대단말 분실/파손,리모컨 파손만 원부과 안내리모컨 청약함
단말>리모컨작동불가>M&S내방안내,고장 본인 통합매장 발송완
고객원인>증설/구내선 정리요청,교체 후 선재연결 정상
실시간 채널>수신 불량,임 의회 선수 신불점검 요청
실시간 채널>수신 불량,수신 불방문점검 요청
단말>리모컨작동불가>택배발송,리모컨 작동 불가
단말>리모컨작동불가>현장출동,코로나 이 상무재확인 필기가 지니 대 리모컨 고장 건전지 교체해도 동일임의
실시간 채널>수신 불량,코로나 이 상무재확인 필티 수신불위성 신미약
단말>STB(작동)이상,셋탑 작동 이상 리모컨 마음대로 작동이됨
실시간 채널>수신 불량,임 의회 선시청 불코로나 이상무
단말>리모컨작동불가>현장출동,리모컨 버튼을 강하게 눌러야지만 작동이 된다고 하심 연후방 오후시
실시간 채널>수신 불량,일리셋 접수건 코로나 이 상무재확인필 시청 불포트 정상
실시간 채널>수신 불량,수신 불잦은 고장 최대한 꼼꼼하게 점검 요청
단말>리모컨작동불가>현장출동,리모컨 작동 불계속 들어 옴리모컨 교체 요청 실사용자 어르신
단말>리모컨작동불가>택배발송,리모컨 작동 불가택배 발송 등록 시간 소요 통합설정 페어링 설정 문자전송 방법 문자전송함
실시간 채널>수신 불량,최고 책임자가 연락 및 방문하라고 함 민원성 있음 불만 고객으로 코로나미확인 현장 확인필 서비스 번 연락처 요청사항 스카이 사용 중이다가 올레티비로 전환 야간도 방문한다 안내 받고 위약금 지급하고 변경하였으나 일야간 접수 안 되어 불만 제기 최고 책임자가 연락 및 방문요
실시간 채널>수신 불량,독촉 심텔 셋 탑 객실 대부분 안 됨 빨간불왔다 갔다 한다 심임의회선
단말>STB(작동)이상,닷컴 접수 넷플릭스 서비스 이용 불가재부팅해도 동일 단말 특이사항
실시간 채널>네트워크 오류,독촉 빠른 방문 요청 네트워크 오류비 정상
AS접수/변경>장비리셋 후 재사용 요청,일리셋 접수 수신 불리셋
실시간 채널>수신 불량,수신불
실시간 채널>화질 이상,코로나 이 상무나 중 설치대 시청 화면은 나오나 채널이동할 때마다 화면 하단 부채널 정보 표시되는 부분에 로딩 중이라고 만나오고 사라진 다함 채널이동할 때마다 해당 문구 표시된다 하심 편성표 누르면 편성표는 잘 열린 다함 장비재부팅 안내 배정시 미리 연 후방 오전시 방문요
AS접수/변경>장비리셋 후 재사용 요청,일리셋 접수임의 단말티비수 신불 끊김모뎀 비정상
단말>STB(작동)이상,코로나 이 상무재확인필작동 이상 정상
실시간 채널>수신 불량,독촉 최대한 빠른 방문 요청안방임의회선수신불 외부 신고장비재부팅 안내연 후방
"고객원인>부주의, ID/PW 분실 등",리셋 건 리모컨으로 전원제어 안됨수동으로 전 원 켜짐 전원이 켜졌다가 자동으로 전원이 꺼지는 증상 반복 제조사로 점검 의뢰수긍후 종료
실시간 채널>음성 이상,화면 나옴 음성안 나 옴재부팅 후 동일
단말>STB(작동)이상,코로나 이 상무지니 전원 소등 누르고 있어야 반응 있다심연
단말>리모컨작동불가>택배발송,리모컨 일부 버튼 작동 불우측 방향 키 외부 신고재부팅함 세게 눌러야 작동 됨택배 요청 등록 리모컨
단말>STB(부팅) 이상>부팅중 오류메시지 발생,방문 전 미리 연락원 함대수 신불서비스 준비 중예전에 교체해줬는데 또 안됨인
실시간 채널>수신 불량,임의수신 불셋탑 교체 요청선도 전부 교체해달라고 하심 취소 건 발생시 우선 방문 요청
실시간 채널>수신 불량,수신 불연 후방임의회선
AS접수/변경>장비리셋 후 재사용 요청,리셋 접수인 한 채널 만나 옴리셋 안내
실시간 채널>화질 이상,코로나 이 상무재확인필 일시 방문 요청 티비화질이 상 거실 쪽 대만 화면 끊김 반 복장비재부팅인 연후방
"고객원인>부주의, ID/PW 분실 등",화면에 업데이트 오류 뜸 스마트 제조사문의
단말>리모컨작동불가>택배발송,채팅리모콘 노후로 채널과 음향 버튼이 잘 눌리지 않아 새 걸로 교체 요청 택배 정주은
실시간 채널>수신 불량,독촉 심 빠른 방문 요청하심코로나 안내 필요 수신 불점검했으나 또 사용 안 되서 불만 극심 기량자 방문 요청하심
"고객원인>부주의, ID/PW 분실 등",를 옮긴 후 수신 불연결 요청
단말>STB(작동)이상,셋탑 전원수시 저절로 되어버린 다 심 방문시 셋탑장비 여분지참 후 방문요잦은 고장불만 극심 꼼꼼한 점검요
실시간 채널>수신 불량,코로나 이 상무 비상용 채널 안 나옴리셋해도 동일시험불
실시간 채널>수신 불량,멀문의 내용신 없음셋 탑 정상리셋 후 정상 사용됨 일반문의 서비스 번문의 내용이 거이거 조금 전에 뭐 업무 다하고 이가 안 나오는데 어떻게 하면 되는가 싶어 갖고 아니인터넷인데가 이거 안 되는데 안 나오는데 뭐 보답를 잘못 눌렀어요 비싸 시장님 잠시만 기다려달라 카는 데
단말>리모컨작동불가>택배발송,리모컨대 시 시작동 불매장 안내했으나 택배 요청 대 무료배송 등록
실시간 채널>수신 불량,리셋 접수 건수신불평소 나오다 안 나오다 했다고 하심
실시간 채널>수신 불량,영업장 독촉임의 월일 시 수신불
실시간 채널>수신 불량,월일시시수신 불바코드 확인 채널 자동검색 메세지 권한재송출 후 장비 재부팅 동일 외부 입력은 안 눌러진다심
단말>리모컨작동불가>택배발송,기술 리콜리모컨 작동 불안 들어오며 안됨 건전지 교체해도 동일 리모컨 등록함
실시간 채널>수신 불량,임 의회 선수 신불펜션 연후방
실시간 채널>수신 불량,차동일 증상 연후방리셋 접수시간 내외수신불리셋
AS접수/변경>장비리셋 후 재사용 요청,당일 부 활리셋 수신불
단말>STB(작동)이상,코로나 이 상무재확인필작동 이상 정상
실시간 채널>수신 불량,수신 불점검 요청
실시간 채널>수신 불량,시시수신 불셋탑 교체 요청
AS접수/변경>장비리셋 후 재사용 요청,리셋 접수 대 모두 수신 불리셋
단말>STB(부팅) 이상>부팅중 오류메시지 발생,용수평수 신불수신카드오류뜸카스 전송 후 정상 사용 잘됨
단말>STB(부팅) 이상>부팅중 오류메시지 발생,부팅 중 가입환영합니다오류 메세지 비정상
실시간 채널>수신 불량,임 의회 선층티비수 신불 정상
실시간 채널>수신 불량,코로나 이 상무재확인 필수신불티비 구매로 인해 연결 요청 정상
단말>STB(부팅) 이상>부팅지연(오류메시지 없음),부팅 지연 전원 켠후에 시청 화면 송출까지 초정도 소요되는 증 발생됨 대중에 대만 안됨 셋탑재 부팅해도 동일 증상 언급 고장 접수 진행하려 했으나 조금 더 지켜보고 점검 필요하면 재연락하겠다 함접수 보류됨
단말>리모컨작동불가>M&S내방안내,리모컨 고정으로 들어오며 작동 불눌린 버튼 없고 건전지 교체해도 안됨 본인 매장 안내리모컨
실시간 채널>수신 불량,스카이 시청 불대 모두 신미약 수리 지연 불만 최대한 빠른 방문 요청 방문 전 연락 요청 코로나 이 상무
고객원인>증설/구내선 정리요청,구내선 셋탑 뒤선이 피복이 벗겨져 절단될 것 같다고 함 방문 전 연락요
실시간 채널>수신 불량,시시수신 불시청도 중시시로 꺼지고 시청 불시 정도 방문 희망오후 늦게 방문 요청연 후방
단말>STB(작동)이상,코로나 이 상무재확인필 시분 이후 가능 지니 전원 작동 불인 입 연락후
"고객원인>부주의, ID/PW 분실 등",다세대 새로 이사를 와서와선 연결 문의 전원 꺼져 있었음 전원 연결 후 인터넷 연결오류 발생 랜선도 연결해 드림는 정상 다른 방연결 관련 문의와 연결 필요 안내에 랜선이 빠져 있어서 연결 안내시 고객님는 다룰 줄 몰라서 실사용 자녀분이 오시면 랜선 연결해보고 안 되면 재연락주시기로 함
실시간 채널>수신 불량,최대한 빠른 방문 요청 위성신잘 안나옴
실시간 채널>화질 이상,일티비 점검 이후 화질 이상
단말>리모컨작동불가>택배발송,본인 리모컨 고장 접수 매장 안내택배 발송 통합설정 문자 안내 발송 안내 거부
단말>리모컨작동불가>택배발송,리모컨 고장택배 배송
실시간 채널>수신 불량,코로나 이 상무재확인 필 대 화면 깨지는 현상이 잦음 외부선로에 의심된다고 하심 습기 많은 날 더함 잦은 고장으로 불만 있으심 유선방송 품질 불량 모뎀 정상
단말>리모컨작동불가>택배발송,리모컨 오래되어 작동 불택배 배송 접수
실시간 채널>네트워크 오류,멀 방문재 접수코로나 이 상무수시 수신 불화질이상 화면이 꺼졌다가 켜진다고 함대 사용 중 꼼꼼한 점검 요청
AS접수/변경>장비리셋 후 재사용 요청,리셋 접수 수신 불리셋 안내인입
실시간 채널>수신 불량,수신 불전 원리셋 동일 비정상
실시간 채널>화질 이상,교체 후 화면이 꺼져다 켜져 다함 연 후방
단말>STB(작동)이상,리셋 시청 불상단 빨강 불점 등 버튼 눌러도 무반응 문제의 심 연락 후 방문 혹시 연락 안 되더라도 계신다며 방문 요청
고객원인>증설/구내선 정리요청,지난번 고 장 점검 시 바닥에 선을 늘어트려놓고 갔다 심 굵은 철사선으로 교체해야 됨 안내 받았으나 현재까지 교체 안됨 시청은 되는 상태시험 정상
단말>리모컨작동불가>택배발송,리모컨 작동 불모듬 버튼 셋탑리셋 안내 매장 확인 불택배 요청 본인 방송
실시간 채널>수신 불량,임의 접수 수신 불연 후방
실시간 채널>화질 이상,티비시청 중 화면에 줄이나오면서 멈춤
단말>리모컨작동불가>현장출동,리모컨 작동 불연 후방 방문 독촉
AS접수/변경>장비리셋 후 재사용 요청,리셋티비수 신불
단말>STB(작동)이상,전원이 안 들어오신다고 하십니다 연후방
실시간 채널>수신 불량,수신 불재부팅해도 동일 방문 전 연락요 정상
AS접수/변경>장비리셋 후 재사용 요청,리셋 접수 수신불
단말>STB(부팅) 이상>부팅중 오류메시지 발생,리셋 접수건 시간 전후 리콜 안내수신불로딩 중리셋 실패재부팅 동일접수 예약일 안내도중 전화 끊으심 무응접수 보류
실시간 채널>화질 이상,일시 요청 코로나 이 상무대중대확인지니 화면 끊김 다른 셋탑도 확인 요청 추연
단말>STB(작동)이상,넷플릭스 만들어가면 화면이 검정색으로 됨
단말>STB(작동)이상,시분 이후 방문 요청에 방문 시간 요청기가 지니 전원 안 켜짐
실시간 채널>화질 이상,화면 꺼졌다 켜졌다가 한다고 함
실시간 채널>수신 불량,수신불
단말>리모컨작동불가>택배발송,등록기가 지니리모컨 작동이상 일부 안됨 음량한쪽 방향 숫자 안됨 현재는 또 됨한참 안 되셨다 함안될 때 재부팅 안내택배 등록 리모컨
AS접수/변경>장비리셋 후 재사용 요청,리셋 접수 시간 전후 안내화면이 상 음성 정상
단말>STB(작동)이상,셋탑이상리셋 후 동일 연 후방
실시간 채널>수신 불량,티시시 수신 불됬다 안됬다함 연 후방
단말>리모컨작동불가>현장출동,리모컨 작동 불됐다 안됐다 한다 심 교체 받았었는데 또 안 된다고 셋탑도 같이 점검 요청 연 후방
고객원인>증설/구내선 정리요청,임의 접수선 연결 요청 접속 불어 제 입주했다고 하심 정상
실시간 채널>화질 이상,에어리모컨 교체 요코로나 이 상무재확인필 화면 꺠짐리모컨 반응도 느림 뒤면을 청소한다고 만지면 때 안 되는 경우도 있음동시 점검 요 정상인
실시간 채널>화질 이상,화면 깜빡임
실시간 채널>수신 불량,대임의회선위성 신미약 시청 불연후방
실시간 채널>수신 불량,코로나 이 상무재확인필 시청 불인 입 연락 후 방문요청
단말>리모컨작동불가>택배발송,리모컨 버튼 눌러도 안 들어오면서 작동 불택배 배송 요청 등록
단말>음성인식이상(기가지니),멤버십리셋 접수건리셋아웃콜코로나 이 상무재확인 필기가 지니 음성인식 안 되고 넷플릭스 시청 안됨 시청 정상 연락 후 정상
AS접수/변경>장비리셋 후 재사용 요청,리셋 접수 시간 내 외 안방 교체 후 메뉴 실행 불인터넷 연결오류 위치 변경 없음
단말>STB(작동)이상,멀코로나무방기가 지니 잦은 고장으로 불만 민원극도심함기가 지니 필요 없다고 떼어가라고 함 다른 셋탑 교체 시 위약금 및 사업자 번 확인 및 서류 필요함 안내시 불만 초초극심 시청을 할 수라도 있게 같은 기가 지니라도 새 셋탑으로 바꿔달라 함
실시간 채널>수신 불량,티수신 불임의회선
단말>STB(작동)이상,층티비 전원이상코로나무
AS접수/변경>장비리셋 후 재사용 요청,멀수신 불량 연결 안 됨리셋 접수 모뎀 정상
단말>리모컨작동불가>M&S내방안내,리모컨 작동 불직 영점 안내
AS접수/변경>장비리셋 후 재사용 요청,리셋 접수 티신 없음 정상
"고객원인>부주의, ID/PW 분실 등",음성안 나옴
원인불명>조치 전 자연 회복,기술 리콜 음성안 나오고 리모콘 채널 버튼 작동이 안 된다고 하여 리콜시 고객님이 직접 재부팅 후 현재는 정상 사용된다고함
단말>리모컨작동불가>M&S내방안내,리모컨 작동 불가건전지 빨리 방전되서 교체 요망 매장 안내함 통합페어링 어플 전송 본인 전송
AS접수/변경>장비리셋 후 재사용 요청,일리셋 접수 시청 불포트 전체 리셋방한 대 안됨망 구성도 모뎀 정상
실시간 채널>수신 불량,임의 단말티비수 신불옥상에 선도 많아서 선정리도 같이 희망연후방
단말>리모컨작동불가>현장출동,코로나 이 상무재확인 필티비대동 시리모컨 작동 불수신 불모뎀 정상연 후방인입
실시간 채널>수신 불량,한 대신 미약 나오면서 안 됨
실시간 채널>수신 불량,코로나 이 상무재확인필두 대 모두 화면 안나옴 연락후
실시간 채널>수신 불량,차리셋 후 동일 리모컨도 점검 요청리셋 접수시간 내 외 안내수신불
단말>리모컨작동불가>택배발송,리모컨 작동 불가택배 발송 등록 시간 소요 통합설정 페어링 설정 문자전송 방법 문자전송함
실시간 채널>수신 불량,코로나 이 상무재확인 필수신불 모두 안됨 독촉인
실시간 채널>수신 불량,임의수신불
단말>리모컨작동불가>기타문의,리모컨 작동 불페어링 안됨리모컨 공장 초기화 후 페어링 정상 리모컨
단말>STB(부팅) 이상>부팅중 오류메시지 발생,차리셋 건 로딩 오류월일리셋 접수 수신불로딩중이라고 나옴시간 내외로 안내
AS접수/변경>임대단말 분실/파손,리모컨 분실 접수 안내
단말>음성인식이상(기가지니),쿠폰 연후방기가 지니 음성인식 잘 안됨 리모컨 교체 요청 방문 접수
단말>리모컨작동불가>택배발송,리모컨 작동 불매장에 재고 없어 택배 배송 요청 문자 발송
단말>리모컨작동불가>현장출동,일 오후 시시리모컨 작동 불가대리인 접수 리모컨이 안 된다 하고 상태 확인 불분실 파손 같은 경우 유료화 안내
AS접수/변경>장비리셋 후 재사용 요청,일리셋 접수 티 소리 나오나 화면 안보 임신 정상리셋 안내
실시간 채널>수신 불량,수신불
실시간 채널>음성 이상,코로나 이 상무재확인 필티대소리 안남지니재부팅 이후 안 됨
실시간 채널>수신 불량,기가 지니 셋톱 뒤 스프링 선이 끊어짐 코로나 안내
AS접수/변경>장비리셋 후 재사용 요청,리셋 접수 수신 불리셋재부팅
